Key,SourceString,Comment
"unknown-error","Unknown Error","This for any error than not found in the ErrorCodes Table"
"login-failed-invalid-user-index","Failed to Login! User Index is invalid."
"login-failed-already-logged-in","Failed to Login! User already logged in."
"login-failed-invalid-type","Failed to Login! Login type is invalid."
"login-failed-agreement-not-accepted","Failed to Login! User not comply with Agreement(s)."
"login-failed-native-subsystem","Failed to Login! User failed to login to native subsystem."
"login-failed-connect","Failed to Login! Request failed."
"user-banned","Failed to Login! User are banned to login."
"login-failed-lobby-connect-error","Failed to connect to the Lobby! Connection error."
"connect-failed-already-connected","Failed to connect to the Lobby! User already connected."
"connect-failed-not-logged-in","Failed to connect to the Lobby! User is not logged in."
"query-eligibilities-failed-userid-invalid","Failed to Query User's Eligible Agreement! User Index is invalid."
"query-eligibilities-failed-not-logged-in","Failed to Query User's Eligible Agreement! User is not logged in."
"request-failed-query-eligibilities-error","Failed to Query User's Eligible Agreement! Request failed."
"get-localized-content-failed-userid-invalid","Failed to Get Localized Policy Content! User Index is invalid."
"get-localized-content-failed-not-logged-in","Failed to Get Localized Policy Content! User is not logged in."
"request-failed-localized-content-not-found-error","Failed to Get Localized Policy Content! Localized Content Not Found."
"request-failed-eligible-agreement-not-found-error","Failed to Get Localized Policy Content! Eligible Agreements not found, please query eligible agreements first."
"request-failed-get-localized-content-error","Failed to Get Localized Policy Content! Request failed."
"accept-policies-failed-userid-invalid","Failed to Accept Agreement Policies! User Index is invalid."
"accept-policies-failed-not-logged-in","Failed to Accept Agreement Policies! User is not logged in."
"request-failed-document-not-found-error","Failed to Accept Agreement Policies! Document to accept not found."
"request-failed-eligible-agreement-not-found-error","Failed to Accept Agreement Policies! Eligible Agreements not found, please query eligible agreements first."
"request-failed-accept-agreement-policies-error","Failed to Accept Agreement Policies! Request failed."
"legal-failed-policy-not-found","Failed Legal Agreement Request! Policy is not found."
"legal-failed-invalid-localize-policy-version-id","Failed Legal Agreement Request! Localize Policy version Id is invalid."
"legal-failed-user-id-needed","Failed Legal Agreement Request! UserId cannot be empty."
